	SAMPLE	CELL	N	SUM	MEAN	MED	N50	MIN	MAX	SD	N_10K	SUM_10K	N_100K	SUM_100K	N_1M	SUM_1M	QV_MEAN	QV_MED	QV_MAX
143	HG02554	HG02554_20210825_UL_eee-prom1-2B-PAH61790_guppy-5.0.11-sup-prom_fastq_pass	1816207	51109333221	28140.6982909988	9863	75100	14	1838595	45711.4903132245	904174	48696001700	118382	19174350739	24	28679405	13.4728280028565	13.4568870089765	54.5109739707064
144	HG02554	HG02554_20211130_UL_eee-prom1-1D-PAI18969_guppy-5.0.11-sup-prom_fastq_pass	490383	15342889882	31287.5647850762	5903	101890	95	1459600	53659.0417561666	215052	14663317189	47305	7813639906	5	6099165	14.2338330529758	14.189389182025	60
145	HG02554	HG02554_20210713_UL_eee-prom1-2A-PAH12704_guppy-5.0.11-sup-prom_fastq_pass	958815	35074505641	36581.0981690941	14293	94587	26	2471111	58602.8641357136	537121	33824022856	95326	16745276508	45	57424790	14.1213161817073	14.2070673874164	57.6665472869133
146	HG02554	HG02554_20211116_UL_eee-prom1-3B-PAI19455_guppy-5.0.11-sup-prom_fastq_pass	50028	1169259106	23372.0937475014	1289	136846	21	1055592	57602.2114379469	13339	1113187100	3860	738007161	1	1055592	13.8382927818215	13.6426505300808	53.9538816023558
147	HG02554	HG02554_20211202_UL_eee-prom1-1D-PAI18969_guppy-5.0.11-sup-prom_fastq_pass	25059	914042166	36475.6042140548	10789	101861	206	779744	56295.5445571142	12745	879525036	2830	466685757	0	0	12.9066177273788	12.5710590361309	57.1006835029334
148	HG02953	HG02953_20210805_UL_eee-prom1-3A-PAH36212_guppy-5.0.11-sup-prom_fastq_pass	20941	538135197	25697.6838259873	7670	72351	54	897516	42349.3183200593	9732	511042572	1202	186634593	0	0	12.5411105629318	12.3089714064796	53.6672636487374
149	HG02953	HG02953_20210803_UL_eee-prom1-3A-PAH36212_guppy-5.0.11-sup-prom_fastq_pass	314296	7859913591	25007.9975278082	3699	86545	25	2139397	49710.1299154537	123326	7474078327	19969	3426194937	21	27645378	13.7092051653259	13.6757104873321	60
150	HG02953	HG02953_20210831_UL_eee-prom1-3A-PAH61836_guppy-5.0.11-sup-prom_fastq_pass	742616	40394536418	54394.9179899167	23233	133957	8	1259850	79670.5159538498	463148	39660881519	132382	25283646096	11	11816299	13.5329910327276	13.4355607002039	60
151	HG02953	HG02953_20210714_UL_eee-prom1-2E-PAH32423_guppy-5.0.11-sup-prom_fastq_pass	147386	5634913892	38232.3551219247	9876	110423	19	719381	58824.4374322939	73511	5484634232	18653	3095213628	0	0	12.6937620163976	12.499079832168	60
152	HG02953	HG02953_20210804_UL_eee-prom1-3A-PAH36212_guppy-5.0.11-sup-prom_fastq_pass	59927	1373908962	22926.3764580239	3767	77119	35	808721	43000.6164491589	23303	1298124020	3309	529862991	0	0	13.0818097177098	12.9674492521195	52.597078326818
153	HG02953	HG02953_20211103_UL_eee-prom1-1G-PAI18578_guppy-5.0.11-sup-prom_fastq_pass	1076238	23889763999	22197.4730487123	2704	95870	16	1691501	48011.8423051944	342747	22325600440	67606	11505833471	21	25295611	14.3155562840648	14.2587148631494	60
154	HG02953	HG02953_20210713_UL_eee-prom1-2E-PAH32423_guppy-5.0.11-sup-prom_fastq_pass	22731	1016660172	44725.7125511416	17400	112559	18	573422	62142.1459549918	13173	989015655	3411	569497278	0	0	12.4492759696791	12.1223968886199	60
