SAMPLE	CELL	N	SUM	MEAN	MED	N50	MIN	MAX	SD	N_10K	SUM_10K	N_100K	SUM_100K	N_1M	SUM_1M	QV_MEAN	QV_MED	QV_MAX
HG02666	20210727_210713_21-lee-006_PCT0053_2-A11-D11	1428104	102538100112	71800.1630917636	41993	146923	12	1162966	82460.0258957716	1077756	101315125917	379616	69929432102	1	1162966	14.5875522303905	14.6958906587524	50.929222613533
HG02666	20210608_210526_21-lee-006_PCT0053_2-E9-H9	1123313	81896413642	72906.1389318917	40650	154892	18	1096394	85820.5109307746	821065	80912068393	307344	57786210324	6	6245999	13.9899270641637	14.0318852364625	58.864775504131
HG03065	20220322_220316_21-lee-006_PC24B149_2F	1018035	76207584238	74857.5287077556	45548	145962	19	1001052	83297.8073467617	810927	75346252920	278098	51556737235	1	1001052	15.1916331492425	15.3659174340183	56.3059706500254
HG03065	20220329_220323_21-lee-006_PC24B149_2G	940415	52969103970	56325.2436105337	30269	118003	30	1002241	69651.2254777254	695952	51918389036	172234	30399611862	1	1002241	15.7898220886293	16.0557095476018	60
HG03371	20220322_220316_21-lee-006_PC24B149_3D	704905	65197619090	92491.3557004135	54455	183943	28	1374780	105850.209463755	577952	64654863549	233386	49207495916	21	22698752	15.1011607469273	15.2583160797956	57.3986778394572
HG03371	20220329_220323_21-lee-006_PC24B149_1F	662953	49661674570	74909.7968785118	41845	152510	24	1503280	90430.6381712786	527710	49067275448	170741	33682781612	3	3588589	15.8671182772984	16.1729661786421	51.1428671933656
HG03456	20220405_220329_21-lee-006_PC24B149_2D	1027847	55554696120	54049.5775343996	17137	149736	16	1237166	80429.455850417	588031	54324926329	195879	37540601045	5	5427141	15.6871887258685	15.8786007526251	52.7552918862735
HG03456	20220315_220308_21-lee-006_PC24B149_3F	967279	53635820642	55450.2068606886	18804	150540	30	1257872	80876.3983475282	568373	52466084081	189523	36328248095	2	2401807	14.9681374562004	15.1184260824865	55.1037779744853
HG03520	20211102_211020_21-lee-006_PCT0053_2-A11-D11	1197271	71635683889	59832.4722548195	16281	176713	16	1344764	92692.4588263475	670111	70143755354	249921	52219178618	17	19089857	14.4633635601853	14.5595442667745	54.3145233660828
HG03520	20211008_210929_21-lee-006_PCT0053_2-A9-D9	1070945	63901865272	59668.6713808832	13010	187972	15	1200174	96387.7970240397	567785	62551987486	221626	47813691437	13	13724398	13.8549055697962	13.8875997048673	53.6155225047991
HG03807	20211019_211006_21-lee-006_PCT0053_2-A5-D5	1339934	99191741417	74027.3337470353	36029	170348	13	1209388	94485.2217319994	935595	97869806311	359255	72359337619	10	11181019	14.0054648301644	13.9739454348948	57.7059628749567
HG03807	20210920_210908_21-lee-006_PCT0053_2-A9-D9	992880	75398198081	75938.8829274434	35957	176900	12	2034917	98351.1980216292	689297	74409607698	271029	55884238659	11	13102996	13.9004548621628	13.880043263208	60
HG04217	20210903_210825_21-lee-006_PCT0053_2-A9-D9	878380	68674894182	78183.5813452037	36572	183526	21	3638002	103168.650681489	610205	67853936829	243509	51570496150	29	34766410	14.1163166525409	14.2132065867157	52.3774840847585
HG04217	20210913_210831_21-lee-006_PCT0053_2-A9-D9	941274	75780403484	80508.3360254294	38793	186190	14	1982873	104703.46231487	662656	74921615822	269414	57349059937	39	43140374	13.7635705191473	13.7256363139548	49.7649238959652
NA18534	20220223_220216_21-lee-006_PC24B149_2F	963468	62344925909	64708.8703610291	27296	159796	15	1282957	87902.0918734482	629233	61236402988	221564	43686636338	4	4472520	15.261710021451	15.4635643456468	44.3189054636161
NA18534	20220228_220223_21-lee-006_PC24B149_2F	1070796	60456109387	56459.0355090979	24433	137920	25	1428000	78263.7571036854	700726	59149469958	203275	38434753069	3	3855315	15.3075815276695	15.5122776823878	58.0753080815743
NA18989	20210519_210512_21-lee-006_PCT0053_2-A9-D9	969913	71253539742	73463.8464913863	30440	185313	14	1799137	102761.454760716	643380	70319960234	246482	53038833211	54	61090265	13.9827536676198	14.0086925158874	54.0129154654479
NA18989	20210510_210428_21-lee-006_PCT0053_2-A9-D9	1110463	80003197397	72044.9014483148	28584	185773	11	1420705	102337.77620668	721839	78940668531	276256	59571134903	40	44076279	14.1384155245752	14.1774858254982	60
NA19331	20211102_211020_21-lee-006_PCT0053_2-A5-D5	1040590	74875384201	71954.7412535196	25019.5	190613	10	1518668	102137.596829353	629243	73763965500	270496	57648406468	17	19593617	14.3031025910986	14.3537857821469	60
NA19331	20210608_210526_21-lee-006_PCT0053_2-A9-D9	1053731	72243895390	68560.0930313334	32959	160063	12	1568223	87989.1546411761	707829	71293039751	266173	51445906622	9	10242509	14.0427000496851	14.092539035203	52.3766737168289
NA19434	20211008_210929_21-lee-006_PCT0053_2-A11-D11	864761	49039168207	56708.3485575783	11321	182943	14	1453822	93055.6125183986	444528	47950375031	171514	36386449362	9	10088872	14.0232657128473	14.0651446319638	60
NA19434	20211001_210922_21-lee-006_PCT0053_2-A9-D9	1593617	96493823174	60550.1969256101	15532	183044	10	1242899	95248.848478641	885119	94447493897	334682	71309711443	21	22967668	14.2376283719457	14.3362614815299	49.6425068597611
NA19705	20220315_220308_21-lee-006_PC24B149_2F	714349	51897921638	72650.6534453048	31391	177031	47	1193366	98237.2330213567	482099	51090213353	182175	38052335253	14	15136729	15.1840902185401	15.3945768620584	55.1836099196291
NA19705	20220322_220316_21-lee-006_PC24B149_1F	734582	49183304334	66954.1376374591	33813	150194	14	1173119	84998.3071474534	514408	48410772134	174663	33427226380	2	2320588	15.2595503926658	15.4486641252054	51.8243648049886
NA19836	20211001_210922_21-lee-006_PCT0053_2-A7-D7	1464775	55854672641	38131.9128473656	5433	148185	12	1307476	74147.5766371678	626311	53977512127	179736	36313546352	16	17549870	13.9904289211625	13.9940528314019	52.2856858244582
NA19836	20211102_211020_21-lee-006_PCT0053_2-A9-D9	1651956	79759208842	48281.678714203	5156	183968	8	1815766	89899.5386613276	721972	77874162247	272522	58823349238	39	43493450	13.8521405500243	13.8319114957374	60
